"Qty";"Value";"Device";"Package";"Parts";"Description";"MFG_NAME";"PROD_ID";"VALUE";
"2";"";"LED0603";"LED-0603";"D2, D3";"LEDs";"";"";"";
"2";"*";"RESISTOR0603-RES";"0603-RES";"R4, R5";"Resistor";"";"";"";
"1";"10nF";"10NF/10000PF-50V-10%(0603)";"0603-CAP";"C1";"CAP-00867";"";"CAP-00867";"10nF";
"2";"2.2k";"2.2KOHM-1/10W-1%(0603)";"0603-RES";"R2, R3";"RES-08272";"";"RES-08272";"2.2k";
"1";"30?";"RESISTOR0603-RES";"0603-RES";"R1";"Resistor";"";"";"";
"2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"FID1, FID2";"Fiducial Alignment Points";"";"";"";
"1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"FRAME1";"Schematic Frame";"";"";"";
"1";"GROVE-4P-2.0-3470130P1";"GROVE-4P-2.0-3470130P1";"4P-2.0";"J1";"";"";"";"";
"1";"IR";"LEDIR42-21C/TR8";"IR42-21C/TR8";"D1";"";"IR42-21C/TR8";"";"";
"1";"JUMPER-PAD-2-NC_BY_TRACE";"JUMPER-PAD-2-NC_BY_TRACE";"PAD-JUMPER-2-NC_BY_TRACE_YES_SILK";"SJ1";"";"";"";"";
"2";"MMBT2222A";"TRANSISTOR_NPNMMBT2222A";"SOT23-3";"Q1, Q2";"Generic NPN BJT";"";"TRANS-08049";"MMBT2222A";
"1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"LOGO1";"Open Source Hardware Logo";"";"";"";
"2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"STANDOFF1, STANDOFF2";"#4 Stand Off";"";"";"";
